,Timestamp,latitude,longitude,course,speed,altitude,wC1,wq1,wT1,wv1,wu1,ww1,uu1,vv1,wC2,wq2,wT2,wv2,wu2,ww2,uu2,vv2
73,2023-06-23T12:06:20.150,25.6075,-80.12001666666667,187.1,29.6319744,204.2,6.768100102076096e-07,6.977498282168314e-05,0.05867757241376147,0.10185887018005171,0.17833531227059218,0.08906577607255317,0.5280248216981676,0.18697176505292873,1.2100272134684499e-06,8.655217051629696e-05,0.037853832115908904,0.11212543094685659,0.15713790703511812,0.0864886072051679,0.44163494012413285,0.23164443192045756
74,2023-06-23T12:10:00.150,25.554166666666667,-80.11178333333334,70.8,31.483972800000004,206.2,8.470465786022818e-07,6.872278591381098e-05,0.04945266315859669,0.14809199967200487,0.14052937682481345,0.10674766542249761,0.3271671728712011,0.30196075292465174,1.3352465096728156e-06,8.571854509636031e-05,0.042474457185268585,0.1501593892551021,0.12281612603383929,0.10766142986786942,0.26066772628156476,0.30123007751241027
75,2023-06-23T12:14:30.150,25.5925,-80.06593333333333,307.6,38.6347444,207.6,8.525094578627933e-07,9.965146265982389e-05,0.04425311098746865,0.19682768066118297,0.1680860068156529,0.12710944344758782,0.3297664797445413,0.48086422910616056,1.4541159216778265e-06,0.00012381621453931915,0.044932725845553974,0.17627219820878937,0.1668876684282754,0.1236125573323085,0.3421527561304559,0.39052299912337324
76,2023-06-23T12:19:00.150,25.60333333333333,-80.12283333333333,185.8,32.0498612,9.0,7.967313501818998e-07,0.00012318185318270616,0.03719369199702925,0.15015807461785027,0.12868499685664406,0.08362048556338945,0.2760446044017696,0.5102143371399962,1.2786926780009674e-06,0.00013528150081508345,0.039814904725918934,0.1371924451220252,0.12458589782631321,0.0753914236496331,0.283857441191106,0.452776268920468
77,2023-06-23T12:22:30.150,25.553833333333333,-80.11188333333334,71.5,31.5868616,9.0,8.622080476834491e-07,0.00012851492384296308,0.046579632533412116,0.13192773439431746,0.13713832965769168,0.08405114667208854,0.33967800022858186,0.37558908241310196,1.3592698856110082e-06,0.00014576102007490666,0.04794191841553766,0.12726743451770098,0.12583216082344442,0.08525127661585205,0.3079165205942226,0.3193346728463436
78,2023-06-23T12:26:36.150,25.58683333333333,-80.05728333333333,306.8,39.097744,10.7,1.2012307198936903e-06,0.00012214858689992139,0.0516256271573964,0.14155029897242136,0.13031549663754635,0.08785076653184666,0.31825476974405775,0.39275455939388515,1.5106235450851261e-06,0.00013846159277620802,0.049637124932726734,0.13102151550708138,0.12290622901047943,0.08641914157467043,0.29386976017280975,0.33262841223525197
79,2023-06-23T10:07:20.150,25.634166666666665,-80.12445,105.1,29.1689748,7.0,6.926408313927437e-07,0.00010167945338862782,0.024498670224001186,0.11631442118898705,0.07487221607379248,0.06103523791666565,0.1631257813660054,0.40795680369656906,1.1942424661491604e-06,0.0001123117773454403,0.02985778945924692,0.11943382288203058,0.08616985632402721,0.057946975347988566,0.20760537307493035,0.418902271242352
80,2023-06-23T10:13:20.150,25.5545,-80.11125,72.6,28.4487532,6.4,7.012599954778925e-07,0.0001167295045165303,0.0364127308233396,0.117219225959592,0.10944514247757674,0.0772387826695137,0.2458168243746702,0.3030601164725344,1.3252893503323858e-06,0.00014271131034042836,0.040510768726334245,0.11357385394768407,0.12927737573758682,0.07925646374844662,0.30226523605592415,0.25833264988094307
81,2023-06-23T10:17:35.150,25.5835,-80.05438333333333,315.5,34.982192,7.6,7.767665763409956e-07,0.00011397912589931163,0.038908448810993375,0.11618151622864338,0.11574406049033548,0.08741680284203722,0.26340988352401756,0.2723624645531785,1.3194366857886457e-06,0.00013098383367795581,0.042609992087943964,0.10943586754627732,0.12187660204136402,0.08533968846508502,0.2842984577977133,0.22979428264866486
82,2023-06-23T10:21:44.150,25.622,-80.12073333333333,181.7,34.5191924,105.6,9.029586439206599e-07,8.36153641841674e-05,0.04193113225782948,0.2679573141589801,0.2421638077067184,0.2529283823072128,0.3437912320095065,0.5155588415705373,1.686648550459493e-06,0.00010928372999787376,0.04905673011260363,0.2794157130132674,0.25687193962408683,0.22842475034564014,0.4296637388364855,0.5915214004964039
83,2023-06-23T10:26:26.150,25.553833333333333,-80.11325,67.4,29.1175304,111.1,5.685518176990047e-07,6.334913358277291e-05,0.03512601020690176,0.13389456579287692,0.13282367055105784,0.10426855651425426,0.28603419899295784,0.3102961644085866,1.1884099524248959e-06,7.817297737510444e-05,0.03213833435314776,0.12182546103596828,0.1344486512607419,0.1009139613235468,0.2939856234140761,0.25360668016325305
84,2023-06-23T10:31:00.150,25.58983333333333,-80.06241666666666,309.0,37.29719,105.9,6.807866578214308e-07,6.118557450697875e-05,0.04598742001372936,0.12851968472909162,0.12710655417206299,0.09756825117251178,0.2979879656114403,0.26050072698498394,1.2327951183456195e-06,7.690574522700617e-05,0.03549967720723895,0.12310912673322233,0.10578671594894846,0.09618799408739062,0.21727074261001234,0.2416403983156258
85,2023-06-23T10:35:00.150,25.613333333333333,-80.12356666666666,178.5,33.7475264,213.3,6.795921103128952e-07,5.700809512807139e-05,0.03252633856644753,0.11709593261610765,0.11258547556497078,0.086118020769562,0.26714289237721717,0.2482247304436535,1.1232834481699946e-06,7.07000994851714e-05,0.031197559445569213,0.09720861625468319,0.11206475758882971,0.07133684604498924,0.29450966546393886,0.19319379491330713
86,2023-06-23T10:39:30.150,25.5555,-80.10478333333333,70.0,31.0209732,201.2,5.251145018550675e-07,4.771748077213559e-05,0.028230230770964593,0.10968109955397175,0.09780132498093505,0.07284018794511436,0.20841189317214792,0.26877917027115117,1.1287608674021561e-06,6.342847583140988e-05,0.031351536838044355,0.1010838775135694,0.10318613478960695,0.07596866731613655,0.23868143831841843,0.21133704378379195
87,2023-06-23T10:43:10.150,25.586,-80.05718333333333,311.9,36.885634800000005,204.7,6.096391224266015e-07,5.901997843987185e-05,0.026455891058186805,0.10110298006895724,0.09244683250383112,0.07095568099653515,0.19333062876129292,0.21170773087817152,9.890169064154829e-07,7.003389416635526e-05,0.027002249864778217,0.09244099934103166,0.09954142221101048,0.06690959559804895,0.24241691258536546,0.17207356096328535
88,2023-06-23T10:48:43.200,25.595333333333333,-80.12348333333334,181.2,33.387415600000004,292.8,6.745221444735631e-07,4.897594827069091e-05,0.02344997705583951,0.09013483292942728,0.07846530270638576,0.06256226309940581,0.16971149171145358,0.21444928267716534,1.041396244785534e-06,6.298756125512643e-05,0.028131544345295745,0.09307113616126304,0.08930198704049344,0.05869196245191625,0.2225506069948811,0.2364976311796926
89,2023-06-23T10:51:44.150,25.553,-80.11405,68.7,30.094974,300.7,5.892537281726884e-07,6.550959717123381e-05,0.028643454736216864,0.1229982850571155,0.09669189182082828,0.08008302750674343,0.18726053107685858,0.28060339656702166,1.17031409202929e-06,8.080867046648728e-05,0.03254058456544988,0.1131205304867013,0.10317317026079945,0.07216262428338506,0.2450748893807418,0.2522516818760129
90,2023-06-23T10:56:00.150,25.58716666666667,-80.05663333333334,307.8,38.1203004,299.3,7.361190442994588e-07,6.0998531722641856e-05,0.03390542454384275,0.10699325449218058,0.09759096607395935,0.07450160525031116,0.20403296208378244,0.21801792950189,1.175160056998549e-06,7.482100755289124e-05,0.033227370480734625,0.09509966872357548,0.10103452594781569,0.07403699085863849,0.22357237261248172,0.17171432862364222
91,2023-06-23T11:01:00.150,25.5965,-80.12248333333334,179.2,34.8278588,390.8,7.664293763513645e-07,8.260462762315084e-05,0.04382536696577281,0.12232281114618451,0.12931159193977396,0.08982849958094044,0.3242574185095017,0.23971391952557977,1.140639679568114e-06,0.0001011154568509655,0.042925192549583956,0.10487890412981407,0.12027544977667919,0.07978138347552723,0.29223471945540896,0.20076351566705763
92,2023-06-23T11:04:00.150,25.554,-80.11256666666667,71.9,27.5741984,397.3,6.743369006513436e-07,0.00010580721895112386,0.056158664494804195,0.12977290196050947,0.144600600605988,0.10037049097764184,0.34547824091596857,0.25756579189275364,1.1005103366503893e-06,0.00013359623924583027,0.038352281952725914,0.12605645931494347,0.12237596067895695,0.0910714564320092,0.2610761316302359,0.27800349616943654
