# x	y	u	v	mask
 13.6811	  8.2418	 -2.2078	  2.2899	  0.0000
 14.3338	  8.2418	 -1.6877	  2.6009	  0.0000
 14.9865	  8.2418	 -1.2264	  2.3849	  0.0000
  0.6268	  7.5891	  2.6363	  2.4740	  0.0000
  1.2795	  7.5891	 -2.8534	  3.7251	  0.0000
  1.9322	  7.5891	 -2.7551	  3.0305	  0.0000
  2.5850	  7.5891	 -2.9285	  2.4947	  0.0000
  3.2377	  7.5891	 -3.0575	  2.8940	  0.0000
  3.8904	  7.5891	 -2.9204	  2.9195	  0.0000
  4.5431	  7.5891	 -2.6508	  2.6538	  0.0000
  5.1958	  7.5891	 -2.4306	  2.4497	  0.0000
  5.8485	  7.5891	 -2.0346	  2.4572	  0.0000
  6.5012	  7.5891	 -1.8086	  2.6791	  0.0000
  7.1540	  7.5891	 -1.7754	  2.8466	  0.0000
  7.8067	  7.5891	 -1.5206	  2.9876	  0.0000
  8.4594	  7.5891	 -1.2244	  3.4330	  0.0000
  9.1121	  7.5891	 -1.4077	  3.4094	  0.0000
  9.7648	  7.5891	 -1.5870	  3.3509	  0.0000
 10.4175	  7.5891	 -1.6573	  2.8662	  0.0000
 11.0702	  7.5891	 -1.9722	  2.5954	  0.0000
 11.7230	  7.5891	 -2.2610	  2.1294	  0.0000
 12.3757	  7.5891	 -2.4988	  2.0385	  0.0000
 13.0284	  7.5891	 -2.6129	  1.9690	  0.0000
 13.6811	  7.5891	 -2.6195	  2.3247	  0.0000
 14.3338	  7.5891	 -2.2411	  2.5599	  0.0000
 14.9865	  7.5891	 -2.0996	  2.3119	  1.0000
  0.6268	  6.9364	 -2.5316	  4.2338	  0.0000
  1.2795	  6.9364	 12.4247	-11.3955	  0.0000
  1.9322	  6.9364	 -2.5971	  2.7241	  0.0000
  2.5850	  6.9364	 -2.6054	  2.0784	  0.0000
  3.2377	  6.9364	 -2.0675	  3.0062	  0.0000
  3.8904	  6.9364	 -2.0546	  2.6757	  0.0000
  4.5431	  6.9364	 -2.0527	  2.7163	  0.0000
  5.1958	  6.9364	 -2.3284	  2.5839	  0.0000
  5.8485	  6.9364	 -2.3498	  2.2244	  0.0000
  6.5012	  6.9364	 -2.2537	  2.4286	  0.0000
  7.1540	  6.9364	 -2.0637	  2.6980	  0.0000
  7.8067	  6.9364	 -2.0508	  2.9153	  0.0000
  8.4594	  6.9364	 -1.9402	  2.9256	  0.0000
  9.1121	  6.9364	 -1.8587	  3.1574	  0.0000
  9.7648	  6.9364	 -1.6391	  3.3979	  0.0000
 10.4175	  6.9364	 -1.6955	  3.2072	  0.0000
 11.0702	  6.9364	 -1.8582	  2.9846	  0.0000
 11.7230	  6.9364	 -2.0624	  2.6338	  0.0000
 12.3757	  6.9364	 -2.3504	  2.4358	  0.0000
 13.0284	  6.9364	 -2.5993	  2.0736	  0.0000
 13.6811	  6.9364	 -2.6855	  1.6606	  0.0000
 14.3338	  6.9364	 -2.2436	  2.4192	  1.0000
 14.9865	  6.9364	 -2.2340	  2.4217	  1.0000
  0.6268	  6.2837	 -3.4103	  3.9194	  0.0000
  1.2795	  6.2837	 -2.8731	  3.5016	  0.0000
  1.9322	  6.2837	 -2.6705	  2.8912	  0.0000
  2.5850	  6.2837	 -2.4575	  2.4793	  0.0000
  3.2377	  6.2837	 -1.5867	  2.9923	  0.0000
  3.8904	  6.2837	 -2.2791	  2.5594	  1.0000
  4.5431	  6.2837	 -1.7687	  2.7463	  0.0000
  5.1958	  6.2837	 -2.2461	  2.3018	  0.0000
  5.8485	  6.2837	 -2.0412	  2.4172	  1.0000
  6.5012	  6.2837	 -2.0041	  2.4051	  1.0000
  7.1540	  6.2837	 -2.2360	  2.1566	  0.0000
  7.8067	  6.2837	 -2.1701	  2.5064	  0.0000
  8.4594	  6.2837	 -2.1459	  2.4109	  0.0000
  9.1121	  6.2837	 -2.2173	  2.3646	  0.0000
  9.7648	  6.2837	 -2.0117	  2.7605	  0.0000
 10.4175	  6.2837	 -2.0035	  2.8984	  0.0000
 11.0702	  6.2837	 -1.8518	  3.3021	  0.0000
 11.7230	  6.2837	 -1.7967	  3.0597	  0.0000
 12.3757	  6.2837	 -2.1754	  2.6341	  0.0000
 13.0284	  6.2837	 -2.4987	  2.3822	  0.0000
 13.6811	  6.2837	 -2.6449	  2.1878	  0.0000
 14.3338	  6.2837	 -2.6124	  2.1652	  0.0000
 14.9865	  6.2837	 -2.4965	  2.4996	  0.0000
  0.6268	  5.6310	 -3.5912	  3.5031	  0.0000
  1.2795	  5.6310	 -3.0186	  3.8054	  0.0000
  1.9322	  5.6310	 -2.6970	  2.2065	  0.0000
  2.5850	  5.6310	 -1.6677	  2.1122	  0.0000
